City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Kaeo,NZ,2022-04-07 17:49:51,-35.1,173.7833,61.56,80,61,7.14
251,Tual,ID,2022-04-07 17:49:51,-5.6667,132.75,83.01,74,95,10.2
252,Kolobrzeg,PL,2022-04-07 17:49:52,54.1757,15.5834,45.97,80,83,15.12
253,Riyadh,SA,2022-04-07 17:48:43,24.6877,46.7219,87.94,8,0,10.6
254,Karangampel,ID,2022-04-07 17:49:53,-6.4622,108.4519,78.66,83,100,6.08
255,Gornyye Klyuchi,RU,2022-04-07 17:49:53,45.25,133.5,29.01,50,8,4.94
256,Altamont,US,2022-04-07 17:49:54,42.2068,-121.7372,62.78,44,0,3.44
257,Kysyl-Syr,RU,2022-04-07 17:49:54,63.8986,122.7617,-8.19,100,97,4.34
258,Camacha,PT,2022-04-07 17:49:55,33.0833,-16.3333,62.02,63,20,6.91
259,Mahajanga,MG,2022-04-07 17:49:55,-15.7167,46.3167,81.46,76,17,7.27
260,Clyde River,CA,2022-04-07 17:49:56,70.4692,-68.5914,10.63,85,100,13.8
261,Severo-Kurilsk,RU,2022-04-07 17:49:56,50.6789,156.125,26.94,82,100,6.91
262,Kavaratti,IN,2022-04-07 17:49:57,10.5669,72.642,83.88,71,37,7.34
263,Hot Springs,US,2022-04-07 17:49:57,34.5037,-93.0552,59.63,27,75,12.66
264,Bam,IR,2022-04-07 17:49:59,29.106,58.357,81.21,12,53,6.2
265,Berlevag,NO,2022-04-07 17:49:59,70.8578,29.0864,33.75,93,75,24.16
266,Aguas Belas,BR,2022-04-07 17:50:00,-9.1114,-37.1231,91.72,32,20,10.38
267,Sicamous,CA,2022-04-07 17:50:02,50.8331,-118.9856,49.17,64,100,2.71
268,Kralendijk,BQ,2022-04-07 17:50:02,12.15,-68.2667,85.98,62,75,19.57
269,Xiongzhou,CN,2022-04-07 17:50:03,25.1167,114.3,63.48,63,5,1.48
270,Zeya,RU,2022-04-07 17:50:03,53.75,127.2667,22.15,70,98,5.03
271,Mehamn,NO,2022-04-07 17:50:04,71.0357,27.8492,31.95,100,100,18.41
272,Suntar,RU,2022-04-07 17:50:04,62.1444,117.6319,16.07,93,100,5.17
273,Magadi,IN,2022-04-07 17:51:05,12.9667,77.2333,78.96,35,29,11.81
274,Codrington,AU,2022-04-07 17:51:06,-38.2667,141.9667,54.77,92,3,7.74
275,Merauke,ID,2022-04-07 17:51:06,-8.4667,140.3333,77.65,89,77,9.26
276,Candolim,IN,2022-04-07 17:51:07,15.5181,73.7626,80.6,78,75,5.75
277,Coquimbo,CL,2022-04-07 17:51:07,-29.9533,-71.3436,62.33,77,0,13.8
278,Tarakan,ID,2022-04-07 17:51:09,3.3,117.6333,81.48,75,99,0.13
279,Pacific Grove,US,2022-04-07 17:51:09,36.6177,-121.9166,86.34,30,0,3.44
280,Margate,GB,2022-04-07 17:51:10,51.3813,1.3862,52.11,48,44,11.01
281,Sarab,IR,2022-04-07 17:51:10,38.6066,44.9883,51.42,65,58,4.05
282,Khani,GE,2022-04-07 17:51:10,41.9563,42.9566,49.57,96,86,7.05
283,Senanga,ZM,2022-04-07 17:51:11,-16.1167,23.2667,73.72,63,81,4.32
284,Nelson Bay,AU,2022-04-07 17:51:12,-32.7167,152.15,71.01,94,90,17.52
285,Broken Hill,AU,2022-04-07 17:51:12,-31.95,141.4333,58.71,72,43,1.14
286,Cidreira,BR,2022-04-07 17:51:13,-30.1811,-50.2056,72.05,83,100,10.78
287,Bella Union,UY,2022-04-07 17:51:13,-30.2752,-57.6007,69.28,80,100,0.49
288,Aguimes,ES,2022-04-07 17:51:14,27.9054,-15.4461,66.83,54,20,26.46
289,Forrest City,US,2022-04-07 17:49:41,35.0081,-90.7898,57.15,46,2,16.8
290,Diu,IN,2022-04-07 17:51:14,20.7141,70.9822,82.4,65,51,5.41
291,Aitape,PG,2022-04-07 17:51:15,-3.1374,142.3475,77.99,89,92,5.77
292,Baley,RU,2022-04-07 17:51:15,51.6,116.6333,39.0,62,68,12.91
293,Guerrero Negro,MX,2022-04-07 17:46:38,27.9769,-114.0611,80.24,31,0,6.82
