City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Hwange,ZW,-18.3693,26.5019,71.31,66,7,3.22,clear sky
251,Port-Gentil,GA,-0.7193,8.7815,80.38,87,18,11.56,moderate rain
252,Havelock,US,34.8791,-76.9013,71.58,48,57,15.99,broken clouds
253,Saskylakh,RU,71.9167,114.0833,-12.41,100,98,3.06,overcast clouds
254,Nuuk,GL,64.1835,-51.7216,23.88,92,100,8.01,overcast clouds
255,Vanimo,PG,-2.6741,141.3028,77.04,90,100,6.13,light rain
256,Palana,RU,59.1167,159.9667,17.37,95,100,6.31,overcast clouds
257,Zabolotovka,RU,50.2737,39.3147,52.2,67,100,6.71,overcast clouds
258,Sorong,ID,-0.8833,131.25,79.03,85,100,9.37,overcast clouds
259,Americus,US,32.0724,-84.2327,68.13,22,40,20.71,scattered clouds
260,Santo Tomas,PH,14.1079,121.1414,79.56,89,94,4.79,overcast clouds
261,Enid,US,36.3956,-97.8784,60.98,27,0,21.85,clear sky
262,Sitka,US,57.0531,-135.33,37.29,87,100,4.61,light rain
263,Orillia,CA,44.6087,-79.4207,49.89,70,100,10.36,overcast clouds
264,Christchurch,NZ,-43.5333,172.6333,51.01,85,75,0.0,broken clouds
265,Pisco,PE,-13.7,-76.2167,70.02,78,0,6.91,clear sky
266,Castro,BR,-24.7911,-50.0119,72.25,83,100,5.79,overcast clouds
267,Phalodi,IN,27.1333,72.3667,86.7,15,1,11.88,clear sky
268,Cururupu,BR,-1.8283,-44.8683,80.28,90,99,3.6,moderate rain
269,Talcahuano,CL,-36.7167,-73.1167,59.47,80,82,11.41,broken clouds
270,Mezen,RU,65.8522,44.24,34.02,90,100,12.37,overcast clouds
271,Bonavista,CA,48.6499,-53.1147,32.9,86,100,10.38,overcast clouds
272,Neryungri,RU,56.6709,124.6491,2.93,98,99,2.62,overcast clouds
273,Raisen,IN,23.3333,77.8,81.5,10,1,3.89,clear sky
274,Tiarei,PF,-17.5333,-149.3333,84.22,76,100,19.62,light rain
275,Tazovskiy,RU,67.4667,78.7,-10.62,100,72,7.74,broken clouds
276,Tura,IN,25.5198,90.2201,71.92,71,0,5.08,clear sky
277,Denpasar,ID,-8.65,115.2167,78.46,83,40,3.44,scattered clouds
278,Ancud,CL,-41.8697,-73.8203,62.22,61,25,5.66,scattered clouds
279,Ushumun,RU,52.7833,126.5333,25.61,93,100,5.03,overcast clouds
280,Mahebourg,MU,-20.4081,57.7,77.25,82,84,14.43,light rain
281,Hachinohe,JP,40.5,141.5,35.76,70,1,7.25,clear sky
282,Yerbogachen,RU,61.2767,108.0108,4.03,99,65,1.1,broken clouds
283,Bima,ID,-8.4667,118.7167,75.07,93,98,3.33,overcast clouds
284,Nadym,RU,65.5333,72.5167,-8.63,98,21,9.15,few clouds
